"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 23:01:02 CST 2024","Wed Jan 17 23:01:02 CST 2024","0","testcases","test_demo","","","","登录失败",""
"passed","Wed Jan 17 23:01:02 CST 2024","Wed Jan 17 23:01:02 CST 2024","1","testcases","登录成功","","","","登录成功2",""
